product_id,region,units_sold,price_per_unit,discount_percent
P11,North,33,85.31503235688433,25.18819458084181
P15,North,31,66.28389497054741,3.116636839695275
P15,North,7,12.691877058241516,15.295052491128445
P15,East,4,45.89048441266641,13.384317161981016
P12,North,9,66.27008620416746,13.77622332656756
NA,South,45,60.781017791014165,23.879588653799146
P14,West,47,79.8609876842238,2.5168949947692454
P13,East,22,98.22366575710475,16.39542009914294
P10,North,39,62.973117334768176,9.282809193246067
P10,East,32,92.92655369732529,20.81031773239374
