product_id,region,units_sold,price_per_unit,discount_percent
P13,South,2,50.87430041981861,3.7385625299066305
P12,North,1,15.26974797481671,18.9911281876266
P13,North,5,34.57583858631551,23.552734076511115
P12,South,27,50.7786880293861,29.329403049778193
NA,East,8,99.98307643458247,1.4605456427671015
NA,North,32,72.93437336105853,9.530747914686799
P10,East,42,47.014869910199195,7.098980974406004
P11,East,23,57.433513924479485,28.933311877772212
P11,North,46,46.48519829614088,24.263850012794137
P10,North,22,94.1825197567232,14.933744072914124
